target_drugs,uniprot_id,Organism
DB00405,P35367,"Homo sapiens (Human)"
DB00407,P01008,"Homo sapiens (Human)"
DB00407,P05546,"Homo sapiens (Human)"
DB00408,P14416,"Homo sapiens (Human)"
DB00408,P21728,"Homo sapiens (Human)"
DB00408,P28223,"Homo sapiens (Human)"
DB00408,P28335,"Homo sapiens (Human)"
DB00408,P08908,"Homo sapiens (Human)"
DB00408,P28222,"Homo sapiens (Human)"
DB00408,P28221,"Homo sapiens (Human)"
DB00408,P28566,"Homo sapiens (Human)"
DB00408,P46098,"Homo sapiens (Human)"
DB00408,P47898,"Homo sapiens (Human)"
DB00408,P50406,"Homo sapiens (Human)"
DB00408,P34969,"Homo sapiens (Human)"
DB00408,P35348,"Homo sapiens (Human)"
DB00408,P35368,"Homo sapiens (Human)"
DB00408,P08913,"Homo sapiens (Human)"
DB00408,P18089,"Homo sapiens (Human)"
DB00408,P18825,"Homo sapiens (Human)"
DB00408,P08588,"Homo sapiens (Human)"
DB00408,P11229,"Homo sapiens (Human)"
DB00408,P08172,"Homo sapiens (Human)"
DB00408,P20309,"Homo sapiens (Human)"
DB00408,P08173,"Homo sapiens (Human)"
DB00408,P08912,"Homo sapiens (Human)"
DB00408,P21728,"Homo sapiens (Human)"
DB00408,P21918,"Homo sapiens (Human)"
DB00408,P35462,"Homo sapiens (Human)"
DB00408,P21917,"Homo sapiens (Human)"
DB00408,P21918,"Homo sapiens (Human)"
DB00408,P35367,"Homo sapiens (Human)"
DB00408,P25021,"Homo sapiens (Human)"
DB00408,Q9H3N8,"Homo sapiens (Human)"
DB00408,P31645,"Homo sapiens (Human)"
DB00408,P23975,"Homo sapiens (Human)"
DB00408,Q01959,"Homo sapiens (Human)"
DB00409,P14416,"Homo sapiens (Human)"
DB00409,P21917,"Homo sapiens (Human)"
DB00409,P35462,"Homo sapiens (Human)"
DB00409,P28223,"Homo sapiens (Human)"
DB00409,Q99720,"Homo sapiens (Human)"
DB00410,P41972,"Staphylococcus aureus"
DB00411,P11229,"Homo sapiens (Human)"
DB00411,P08172,"Homo sapiens (Human)"
DB00411,Q15822,"Homo sapiens (Human)"
DB00412,P37231,"Homo sapiens (Human)"
DB00412,O60488,"Homo sapiens (Human)"
DB00413,P35462,"Homo sapiens (Human)"
DB00413,P14416,"Homo sapiens (Human)"
DB00413,P21917,"Homo sapiens (Human)"
DB00413,P18089,"Homo sapiens (Human)"
DB00413,P08908,"Homo sapiens (Human)"
DB00413,P28221,"Homo sapiens (Human)"
DB00413,P08913,"Homo sapiens (Human)"
DB00413,P28222,"Homo sapiens (Human)"
DB00413,P28223,"Homo sapiens (Human)"
DB00413,P41595,"Homo sapiens (Human)"
DB00413,P28335,"Homo sapiens (Human)"
DB00413,P18825,"Homo sapiens (Human)"
DB00413,P21728,"Homo sapiens (Human)"
DB00413,P21918,"Homo sapiens (Human)"
DB00414,P48048,"Homo sapiens (Human)"
DB00415,Q8DNB6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00415,Q7CRA4,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00415,Q75Y35,"Streptococcus pneumoniae"
DB00415,Q8DR59,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00415,P0A3M6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00415,P46059,"Homo sapiens (Human)"
DB00415,Q16348,"Homo sapiens (Human)"
DB00415,Q02763,"Homo sapiens (Human)"
DB00416,Q15822,"Homo sapiens (Human)"
DB00417,Q8XJ01,"Clostridium perfringens (strain 13 / Type A)"
DB00417,Q53707,"Staphylococcus aureus"
DB00417,P24228,"Escherichia coli (strain K12)"
DB00417,P12256,"Lysinibacillus sphaericus (Bacillus sphaericus)"
DB00417,P46059,"Homo sapiens (Human)"
DB00418,P14867,"Homo sapiens (Human)"
DB00418,P47869,"Homo sapiens (Human)"
DB00418,P34903,"Homo sapiens (Human)"
DB00418,P48169,"Homo sapiens (Human)"
DB00418,P31644,"Homo sapiens (Human)"
DB00418,Q16445,"Homo sapiens (Human)"
DB00418,P43681,"Homo sapiens (Human)"
DB00418,P36544,"Homo sapiens (Human)"
DB00418,P42262,"Homo sapiens (Human)"
DB00418,Q13002,"Homo sapiens (Human)"
DB00418,Q05586,"Homo sapiens (Human)"
DB00418,Q12879,"Homo sapiens (Human)"
DB00418,Q13224,"Homo sapiens (Human)"
DB00418,Q14957,"Homo sapiens (Human)"
DB00418,O15399,"Homo sapiens (Human)"
DB00418,Q8TCU5,"Homo sapiens (Human)"
DB00418,O60391,"Homo sapiens (Human)"
DB00419,Q16739,"Homo sapiens (Human)"
DB00420,P14416,"Homo sapiens (Human)"
DB00420,P28223,"Homo sapiens (Human)"
DB00420,P28335,"Homo sapiens (Human)"
DB00420,P21728,"Homo sapiens (Human)"
DB00420,P21917,"Homo sapiens (Human)"
DB00420,P08173,"Homo sapiens (Human)"
DB00420,P08172,"Homo sapiens (Human)"
DB00420,P20309,"Homo sapiens (Human)"
DB00420,P11229,"Homo sapiens (Human)"
DB00420,P35368,"Homo sapiens (Human)"
DB00420,P08912,"Homo sapiens (Human)"
DB00420,P35348,"Homo sapiens (Human)"
DB00420,P35367,"Homo sapiens (Human)"
DB00420,P25100,"Homo sapiens (Human)"
DB00421,P08235,"Homo sapiens (Human)"
DB00421,P10275,"Homo sapiens (Human)"
DB00421,P06401,"Homo sapiens (Human)"
DB00421,P04150,"Homo sapiens (Human)"
DB00421,P19099,"Homo sapiens (Human)"
DB00421,P18405,"Homo sapiens (Human)"
DB00421,P31213,"Homo sapiens (Human)"
DB00421,Q9H8P0,"Homo sapiens (Human)"
DB00421,P04278,"Homo sapiens (Human)"
DB00421,Q06432,"Homo sapiens (Human)"
DB00421,P54289,"Homo sapiens (Human)"
DB00421,Q9NY47,"Homo sapiens (Human)"
DB00421,Q8IZS8,"Homo sapiens (Human)"
DB00421,Q13936,"Homo sapiens (Human)"
DB00421,Q01668,"Homo sapiens (Human)"
DB00421,O60840,"Homo sapiens (Human)"
DB00421,Q13698,"Homo sapiens (Human)"
DB00421,Q6TME4,"Homo sapiens (Human)"
DB00421,Q02641,"Homo sapiens (Human)"
DB00421,Q08289,"Homo sapiens (Human)"
DB00421,P54284,"Homo sapiens (Human)"
DB00421,O00305,"Homo sapiens (Human)"
DB00421,Q00975,"Homo sapiens (Human)"
DB00421,O00555,"Homo sapiens (Human)"
DB00421,O43497,"Homo sapiens (Human)"
DB00421,O95180,"Homo sapiens (Human)"
DB00421,Q9P0X4,"Homo sapiens (Human)"
DB00422,Q01959,"Homo sapiens (Human)"
DB00422,P23975,"Homo sapiens (Human)"
DB00422,P31645,"Homo sapiens (Human)"
DB00423,P00915,"Homo sapiens (Human)"
DB00424,P11229,"Homo sapiens (Human)"
DB00424,P08172,"Homo sapiens (Human)"
DB00424,P20309,"Homo sapiens (Human)"
DB00424,P08173,"Homo sapiens (Human)"
DB00425,P14867,"Homo sapiens (Human)"
DB00425,P47869,"Homo sapiens (Human)"
DB00425,P34903,"Homo sapiens (Human)"
DB00426,P04293,"Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)"
DB00426,P09252,"Varicella-zoster virus (strain Dumas) (HHV-3) (Human herpesvirus 3)"
DB00427,P35367,"Homo sapiens (Human)"
DB00428,P11168,"Homo sapiens (Human)"
DB00428,Q89ZI2,"Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)"
DB00429,P34995,"Homo sapiens (Human)"
DB00430,P0AD68,"Escherichia coli (strain K12)"
DB00430,P02919,"Escherichia coli (strain K12)"
DB00430,Q07806,"Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)"
DB00430,Q9X6W0,"Pseudomonas aeruginosa"
DB00430,P08506,"Escherichia coli (strain K12)"
DB00430,P02918,"Escherichia coli (strain K12)"
DB00430,C1KC03,"Staphylococcus aureus"
DB00431,P18505,"Homo sapiens (Human)"
DB00431,P23415,"Homo sapiens (Human)"
DB00431,P23416,"Homo sapiens (Human)"
DB00431,O75311,"Homo sapiens (Human)"
DB00431,P48167,"Homo sapiens (Human)"
DB00432,P04818,"Homo sapiens (Human)"
DB00433,P14416,"Homo sapiens (Human)"
DB00434,P35367,"Homo sapiens (Human)"
DB00434,P28223,"Homo sapiens (Human)"
DB00434,P28335,"Homo sapiens (Human)"
DB00434,P11229,"Homo sapiens (Human)"
DB00434,P08172,"Homo sapiens (Human)"
DB00434,P20309,"Homo sapiens (Human)"
DB00435,P33402,"Homo sapiens (Human)"
DB00436,P55017,"Homo sapiens (Human)"
DB00436,Q12791,"Homo sapiens (Human)"
DB00436,P00915,"Homo sapiens (Human)"
DB00436,P00918,"Homo sapiens (Human)"
DB00436,P22748,"Homo sapiens (Human)"
DB00437,P47989,"Homo sapiens (Human)"
DB00438,P0AD68,"Escherichia coli (strain K12)"
DB00438,Q75Y35,"Streptococcus pneumoniae"
DB00438,P02918,"Escherichia coli (strain K12)"
DB00438,Q8DR59,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00438,P02919,"Escherichia coli (strain K12)"
DB00438,Q9X6W0,"Pseudomonas aeruginosa"
DB00438,Q9X6V3,"Pseudomonas aeruginosa"
DB00438,P0AD65,"Escherichia coli (strain K12)"
DB00438,P72161,"Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)"
DB00439,P04035,"Homo sapiens (Human)"
DB00440,P04818,"Homo sapiens (Human)"
DB00440,P00374,"Homo sapiens (Human)"
DB00441,P23921,"Homo sapiens (Human)"
DB00441,P04818,"Homo sapiens (Human)"
DB00441,P30085,"Homo sapiens (Human)"
DB00443,P04150,"Homo sapiens (Human)"
DB00444,P11388,"Homo sapiens (Human)"
DB00445,O14646,"Homo sapiens (Human)"
DB00445,P11388,"Homo sapiens (Human)"
DB00446,P0ADY7,"Escherichia coli (strain K12)"
DB00446,P24093,"Escherichia coli"
DB00446,P08174,"Homo sapiens (Human)"
DB00447,Q75Y35,"Streptococcus pneumoniae"
DB00447,Q8XJ01,"Clostridium perfringens (strain 13 / Type A)"
DB00448,P20648,"Homo sapiens (Human)"
DB00449,P35348,"Homo sapiens (Human)"
DB00449,P08913,"Homo sapiens (Human)"
DB00449,P07550,"Homo sapiens (Human)"
DB00449,P06276,"Homo sapiens (Human)"
DB00449,P22303,"Homo sapiens (Human)"
DB00450,P14416,"Homo sapiens (Human)"
DB00450,P35348,"Homo sapiens (Human)"
DB00451,P10827,"Homo sapiens (Human)"
DB00451,P10828,"Homo sapiens (Human)"
DB00452,P0A7S3,"Escherichia coli (strain K12)"
DB00452,P61073,"Homo sapiens (Human)"
DB00453,P0A7V8,"Escherichia coli (strain K12)"
DB00453,P0A7X3,"Escherichia coli (strain K12)"
DB00454,P41145,"Homo sapiens (Human)"
DB00454,Q05586,"Homo sapiens (Human)"
DB00454,Q13224,"Homo sapiens (Human)"
DB00454,Q12879,"Homo sapiens (Human)"
DB00454,Q14957,"Homo sapiens (Human)"
DB00454,O15399,"Homo sapiens (Human)"
DB00454,P11229,"Homo sapiens (Human)"
DB00454,P08172,"Homo sapiens (Human)"
DB00454,P20309,"Homo sapiens (Human)"
DB00454,P08173,"Homo sapiens (Human)"
DB00454,P08912,"Homo sapiens (Human)"
DB00454,P35372,"Homo sapiens (Human)"
DB00454,Q01959,"Homo sapiens (Human)"
DB00454,P23975,"Homo sapiens (Human)"
DB00454,P31645,"Homo sapiens (Human)"
DB00455,P35367,"Homo sapiens (Human)"
DB00456,P15555,"Streptomyces sp. (strain R61)"
DB00456,Q8DR59,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00456,Q7CRA4,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00456,Q75Y35,"Streptococcus pneumoniae"
DB00456,Q8DNB6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00456,P0A3M6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00456,Q8XJ01,"Clostridium perfringens (strain 13 / Type A)"
DB00456,P00811,"Escherichia coli (strain K12)"
DB00457,P35348,"Homo sapiens (Human)"
DB00457,P35368,"Homo sapiens (Human)"
DB00457,P25100,"Homo sapiens (Human)"
DB00457,Q12809,"Homo sapiens (Human)"
DB00457,Q9H252,"Homo sapiens (Human)"
DB00457,Q9NS40,"Homo sapiens (Human)"
DB00457,P08913,"Homo sapiens (Human)"
DB00457,P18089,"Homo sapiens (Human)"
DB00458,P23975,"Homo sapiens (Human)"
DB00458,P31645,"Homo sapiens (Human)"
DB00458,P28223,"Homo sapiens (Human)"
DB00458,P35367,"Homo sapiens (Human)"
DB00458,P35348,"Homo sapiens (Human)"
DB00458,P25100,"Homo sapiens (Human)"
DB00458,P11229,"Homo sapiens (Human)"
DB00458,P08172,"Homo sapiens (Human)"
DB00458,P20309,"Homo sapiens (Human)"
DB00458,P08173,"Homo sapiens (Human)"
DB00458,P08912,"Homo sapiens (Human)"
DB00458,Q9NZV8,"Homo sapiens (Human)"
DB00458,Q9UK17,"Homo sapiens (Human)"
DB00458,P28335,"Homo sapiens (Human)"
DB00458,P35368,"Homo sapiens (Human)"
DB00458,P34969,"Homo sapiens (Human)"
DB00458,P21728,"Homo sapiens (Human)"
DB00458,P21918,"Homo sapiens (Human)"
DB00458,P14416,"Homo sapiens (Human)"
DB00458,Q12809,"Homo sapiens (Human)"
DB00458,Q01959,"Homo sapiens (Human)"
DB00458,P08908,"Homo sapiens (Human)"
DB00458,P50406,"Homo sapiens (Human)"
DB00459,P19793,"Homo sapiens (Human)"
DB00459,P10276,"Homo sapiens (Human)"
DB00459,P10826,"Homo sapiens (Human)"
DB00459,P13631,"Homo sapiens (Human)"
DB00459,P28702,"Homo sapiens (Human)"
DB00459,P48443,"Homo sapiens (Human)"
DB00459,P09455,"Homo sapiens (Human)"
DB00461,P35354,"Homo sapiens (Human)"
DB00461,P23219,"Homo sapiens (Human)"
DB00462,P11229,"Homo sapiens (Human)"
DB00462,P08172,"Homo sapiens (Human)"
DB00462,P20309,"Homo sapiens (Human)"
DB00463,P14867,"Homo sapiens (Human)"
DB00463,P47869,"Homo sapiens (Human)"
DB00463,P34903,"Homo sapiens (Human)"
DB00463,P48169,"Homo sapiens (Human)"
DB00463,P31644,"Homo sapiens (Human)"
DB00463,Q16445,"Homo sapiens (Human)"
DB00463,P43681,"Homo sapiens (Human)"
DB00463,P36544,"Homo sapiens (Human)"
DB00463,P42262,"Homo sapiens (Human)"
DB00463,Q13002,"Homo sapiens (Human)"
DB00463,P14867,"Homo sapiens (Human)"
DB00463,P47869,"Homo sapiens (Human)"
DB00463,P34903,"Homo sapiens (Human)"
DB00463,P48169,"Homo sapiens (Human)"
DB00463,P31644,"Homo sapiens (Human)"
DB00463,Q16445,"Homo sapiens (Human)"
DB00463,P18505,"Homo sapiens (Human)"
DB00463,P47870,"Homo sapiens (Human)"
DB00463,P28472,"Homo sapiens (Human)"
DB00463,O14764,"Homo sapiens (Human)"
DB00463,P78334,"Homo sapiens (Human)"
DB00463,Q8N1C3,"Homo sapiens (Human)"
DB00463,P18507,"Homo sapiens (Human)"
DB00463,Q99928,"Homo sapiens (Human)"
DB00463,O00591,"Homo sapiens (Human)"
DB00463,Q9UN88,"Homo sapiens (Human)"
DB00464,P04070,"Homo sapiens (Human)"
DB00464,P07225,"Homo sapiens (Human)"
DB00465,P35354,"Homo sapiens (Human)"
DB00465,P23219,"Homo sapiens (Human)"
DB00466,P24046,"Homo sapiens (Human)"
DB00466,P14867,"Homo sapiens (Human)"
DB00466,P23416,"Homo sapiens (Human)"
DB00466,O75311,"Homo sapiens (Human)"
DB00467,P43700,"Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)"
DB00467,P43702,"Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)"
DB00467,P11388,"Homo sapiens (Human)"
DB00468,P14770,"Homo sapiens (Human)"
DB00468,O15554,"Homo sapiens (Human)"
DB00469,P35354,"Homo sapiens (Human)"
DB00469,P23219,"Homo sapiens (Human)"
DB00470,P21554,"Homo sapiens (Human)"
DB00470,P34972,"Homo sapiens (Human)"
DB00471,Q9Y271,"Homo sapiens (Human)"
DB00471,P09917,"Homo sapiens (Human)"
DB00472,P31645,"Homo sapiens (Human)"
DB00473,Q14524,"Homo sapiens (Human)"
DB00473,Q9Y5Y9,"Homo sapiens (Human)"
DB00474,P14867,"Homo sapiens (Human)"
DB00475,P14867,"Homo sapiens (Human)"
DB00475,P47869,"Homo sapiens (Human)"
DB00475,P34903,"Homo sapiens (Human)"
DB00475,P48169,"Homo sapiens (Human)"
DB00475,P31644,"Homo sapiens (Human)"
DB00475,Q16445,"Homo sapiens (Human)"
DB00475,P18505,"Homo sapiens (Human)"
DB00475,P47870,"Homo sapiens (Human)"
DB00475,P28472,"Homo sapiens (Human)"
DB00475,O14764,"Homo sapiens (Human)"
DB00475,P78334,"Homo sapiens (Human)"
DB00475,Q8N1C3,"Homo sapiens (Human)"
DB00475,P18507,"Homo sapiens (Human)"
DB00475,Q99928,"Homo sapiens (Human)"
DB00475,O00591,"Homo sapiens (Human)"
DB00475,Q9UN88,"Homo sapiens (Human)"
DB00476,P31645,"Homo sapiens (Human)"
DB00476,P23975,"Homo sapiens (Human)"
DB00476,Q01959,"Homo sapiens (Human)"
DB00477,P14416,"Homo sapiens (Human)"
DB00477,P21728,"Homo sapiens (Human)"
DB00477,P28223,"Homo sapiens (Human)"
DB00477,P08908,"Homo sapiens (Human)"
DB00477,P35348,"Homo sapiens (Human)"
DB00477,P35368,"Homo sapiens (Human)"
DB00477,P35367,"Homo sapiens (Human)"
DB00477,Q12809,"Homo sapiens (Human)"
DB00477,P21728,"Homo sapiens (Human)"
DB00477,P21918,"Homo sapiens (Human)"
DB00477,P35462,"Homo sapiens (Human)"
DB00477,P21917,"Homo sapiens (Human)"
DB00477,P21918,"Homo sapiens (Human)"
DB00477,P28335,"Homo sapiens (Human)"
DB00477,P28223,"Homo sapiens (Human)"
DB00477,P41595,"Homo sapiens (Human)"
DB00477,P28335,"Homo sapiens (Human)"
DB00477,P35348,"Homo sapiens (Human)"
DB00477,P35368,"Homo sapiens (Human)"
DB00477,P25100,"Homo sapiens (Human)"
DB00477,P08913,"Homo sapiens (Human)"
DB00477,P18089,"Homo sapiens (Human)"
DB00477,P18825,"Homo sapiens (Human)"
DB00477,P11229,"Homo sapiens (Human)"
DB00477,P20309,"Homo sapiens (Human)"
DB00477,P17405,"Homo sapiens (Human)"
DB00477,P62158,"Homo sapiens (Human)"
DB00477,P62158,"Homo sapiens (Human)"
DB00477,P62158,"Homo sapiens (Human)"
DB00477,P02763,"Homo sapiens (Human)"
DB00477,P19652,"Homo sapiens (Human)"
DB00477,P50406,"Homo sapiens (Human)"
DB00477,P34969,"Homo sapiens (Human)"
DB00477,Q9H3N8,"Homo sapiens (Human)"
DB00478,P21430,"Influenza A virus (strain A/Ann Arbor/6/1960 H2N2)"
DB00479,P0A7S3,"Escherichia coli (strain K12)"
DB00480,Q96SW2,"Homo sapiens (Human)"
DB00480,O14788,"Homo sapiens (Human)"
DB00480,P33151,"Homo sapiens (Human)"
DB00480,P35354,"Homo sapiens (Human)"
DB00481,P03372,"Homo sapiens (Human)"
DB00481,Q92731,"Homo sapiens (Human)"
DB00482,P35354,"Homo sapiens (Human)"
DB00482,O15530,"Homo sapiens (Human)"
DB00483,P08172,"Homo sapiens (Human)"
DB00483,P22303,"Homo sapiens (Human)"
DB00483,Q15822,"Homo sapiens (Human)"
DB00484,P08913,"Homo sapiens (Human)"
DB00484,P18089,"Homo sapiens (Human)"
DB00484,P18825,"Homo sapiens (Human)"
DB00485,B8DCL9,""
DB00485,B8DD61,""
DB00485,Q7CRA4,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00485,Q8DNB6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00485,Q75Y35,"Streptococcus pneumoniae"
DB00485,Q8DR59,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00485,P0A3M6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00486,P34972,"Homo sapiens (Human)"
DB00486,P21554,"Homo sapiens (Human)"
DB00487,P43702,"Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)"
DB00487,P43700,"Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)"
DB00487,P11388,"Homo sapiens (Human)"
DB00487,Q06AK7,"Staphylococcus aureus"
DB00489,Q12809,"Homo sapiens (Human)"
DB00489,P08588,"Homo sapiens (Human)"
DB00489,P07550,"Homo sapiens (Human)"
DB00490,P08908,"Homo sapiens (Human)"
DB00490,P14416,"Homo sapiens (Human)"
DB00491,O43451,"Homo sapiens (Human)"
DB00491,P10253,"Homo sapiens (Human)"
DB00491,Q14697,"Homo sapiens (Human)"
DB00491,Q8TET4,"Homo sapiens (Human)"
DB00492,P12821,"Homo sapiens (Human)"
DB00493,Q7CRA4,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00493,Q8DNB6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00493,P42971,"Bacillus subtilis (strain 168)"
DB00493,Q8DR59,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00493,P0A3M6,"Streptococcus pneumoniae (strain ATCC BAA-255 / R6)"
DB00493,Q4U2R8,"Homo sapiens (Human)"
DB00493,Q8TCC7,"Homo sapiens (Human)"
DB00493,Q9NSA0,"Homo sapiens (Human)"
DB00493,Q9Y694,"Homo sapiens (Human)"
DB00493,P46059,"Homo sapiens (Human)"
DB00493,P02768,"Homo sapiens (Human)"
DB00493,B2ZTR6,"Acinetobacter baumannii"
DB00493,Q16348,"Homo sapiens (Human)"
DB00494,P21964,"Homo sapiens (Human)"
DB00495,Q72547,"Human immunodeficiency virus 1"
DB00495,O14746,"Homo sapiens (Human)"
DB00496,P20309,"Homo sapiens (Human)"
DB00496,P11229,"Homo sapiens (Human)"
DB00496,P08172,"Homo sapiens (Human)"
DB00496,P08173,"Homo sapiens (Human)"
DB00496,P08912,"Homo sapiens (Human)"
DB00497,P35372,"Homo sapiens (Human)"
DB00497,P41145,"Homo sapiens (Human)"
DB00497,P41143,"Homo sapiens (Human)"
DB00497,P02763,"Homo sapiens (Human)"
DB00497,P19652,"Homo sapiens (Human)"
DB00498,Q9BQB6,"Homo sapiens (Human)"
DB00499,P10275,"Homo sapiens (Human)"
DB00499,P35869,"Homo sapiens (Human)"
DB00500,P35354,"Homo sapiens (Human)"
DB00500,P23219,"Homo sapiens (Human)"
DB00501,P25021,"Homo sapiens (Human)"
DB00502,P14416,"Homo sapiens (Human)"
DB00502,P21728,"Homo sapiens (Human)"
DB00502,Q13224,"Homo sapiens (Human)"
DB00502,P28223,"Homo sapiens (Human)"
DB00502,P35462,"Homo sapiens (Human)"
DB00503,Q72874,"Human immunodeficiency virus 1"
DB00504,P35372,"Homo sapiens (Human)"
DB00505,P20309,"Homo sapiens (Human)"
DB00505,P11229,"Homo sapiens (Human)"
DB00505,P08172,"Homo sapiens (Human)"
DB00507,P94692,"Desulfovibrio africanus"
DB00508,P21728,"Homo sapiens (Human)"
DB00508,P14416,"Homo sapiens (Human)"
DB00508,P41595,"Homo sapiens (Human)"
DB00508,P11229,"Homo sapiens (Human)"
DB00508,P08172,"Homo sapiens (Human)"
DB00509,P10827,"Homo sapiens (Human)"
DB00509,P10828,"Homo sapiens (Human)"
DB00509,P07202,"Homo sapiens (Human)"
DB00511,P05023,"Homo sapiens (Human)"
DB00512,P96558,"Amycolatopsis orientalis (Nocardia orientalis)"
DB00512,P02768,"Homo sapiens (Human)"
DB00512,Q06241,"Enterococcus faecium (Streptococcus faecium)"
DB00513,P00747,"Homo sapiens (Human)"
DB00513,P00750,"Homo sapiens (Human)"
DB00513,P08519,"Homo sapiens (Human)"
DB00514,Q99720,"Homo sapiens (Human)"
DB00514,Q5T1J1,"Homo sapiens (Human)"
DB00514,Q8TCU5,"Homo sapiens (Human)"
DB00514,Q15822,"Homo sapiens (Human)"
DB00514,P31645,"Homo sapiens (Human)"
DB00514,O00264,"Homo sapiens (Human)"
DB00514,P32297,"Homo sapiens (Human)"
DB00514,P43681,"Homo sapiens (Human)"
DB00514,P30926,"Homo sapiens (Human)"
DB00514,P17787,"Homo sapiens (Human)"
DB00514,P36544,"Homo sapiens (Human)"
DB00514,P35372,"Homo sapiens (Human)"
DB00514,P41143,"Homo sapiens (Human)"
DB00514,P41145,"Homo sapiens (Human)"
DB00514,P04839,"Homo sapiens (Human)"
DB00514,P13498,"Homo sapiens (Human)"
DB00514,P14598,"Homo sapiens (Human)"
DB00514,P19878,"Homo sapiens (Human)"
DB00514,Q15080,"Homo sapiens (Human)"
DB00514,P63000,"Homo sapiens (Human)"
DB00514,P15153,"Homo sapiens (Human)"
DB00514,P23975,"Homo sapiens (Human)"
DB00517,P11229,"Homo sapiens (Human)"
DB00517,P08172,"Homo sapiens (Human)"
DB00517,P20309,"Homo sapiens (Human)"
DB00518,F1L7U3,"Ascaris suum (Pig roundworm) (Ascaris lumbricoides)"
DB00518,Q71U36,"Homo sapiens (Human)"
DB00518,P68371,"Homo sapiens (Human)"
DB00518,P83223,"Shewanella oneidensis (strain MR-1)"
DB00519,P12821,"Homo sapiens (Human)"
DB00520,A2QLK4,"Aspergillus niger (strain CBS 513.88 / FGSC A1513)"
DB00521,P07550,"Homo sapiens (Human)"
DB00521,P08588,"Homo sapiens (Human)"
DB00522,P05981,"Homo sapiens (Human)"
DB00523,P10276,"Homo sapiens (Human)"
DB00523,P19793,"Homo sapiens (Human)"
DB00523,P10826,"Homo sapiens (Human)"
DB00523,P28702,"Homo sapiens (Human)"
DB00523,P13631,"Homo sapiens (Human)"
DB00523,P48443,"Homo sapiens (Human)"
DB00524,P55017,"Homo sapiens (Human)"
DB00525,Q92206,"Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)"
DB00527,Q9Y5Y9,"Homo sapiens (Human)"
DB00527,Q14524,"Homo sapiens (Human)"
DB00527,P62158,"Homo sapiens (Human)"
DB00527,P62158,"Homo sapiens (Human)"
DB00527,P62158,"Homo sapiens (Human)"
DB00528,Q06432,"Homo sapiens (Human)"
DB00529,P08546,"Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)"
DB00529,P04293,"Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)"
DB00530,P00533,"Homo sapiens (Human)"
DB00530,O75469,"Homo sapiens (Human)"
DB00532,Q14524,"Homo sapiens (Human)"
DB00533,P35354,"Homo sapiens (Human)"
DB00533,P15502,"Homo sapiens (Human)"
DB00534,Q13621,"Homo sapiens (Human)"
DB00534,P51649,"Homo sapiens (Human)"
DB00535,P08149,"Neisseria gonorrhoeae"
DB00535,Q60FT7,"Haemophilus influenzae"
DB00535,P05164,"Homo sapiens (Human)"
DB00536,P0A6E4,"Escherichia coli (strain K12)"
DB00536,Q14353,"Homo sapiens (Human)"
DB00536,P07998,"Homo sapiens (Human)"
DB00536,P78352,"Homo sapiens (Human)"
DB00536,P00720,"Enterobacteria phage T4 (Bacteriophage T4)"
DB00536,P05091,"Homo sapiens (Human)"
DB00536,P53608,"Bacillus caldovelox"
DB00537,P43702,"Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)"
DB00537,P43700,"Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)"
DB00537,P11388,"Homo sapiens (Human)"
